name,parent_id
"Havana",""
"Matanzas",""
"Varadero","Matanzas"
"Ciego de Avila",""
"Cayo Guillermo","Ciego de Avila"
"Old Havana","Havana"
"Villa Clara",""
"Santa Clara City","Villa Clara"
"Eastern Beaches","Havana"
"Granma",""
"Santiago de Cuba",""
"Remedios","Villa Clara"
"Cienaga de Zapata","Matanzas"
"Holguin",""
"Playa Pesquero","Holguin"
"Cayo Coco","Ciego de Avila"
"Mayabeque",""
"Jibacoa","Mayabeque"
"Las Tunas",""
"Covarrubias","Las Tunas"
"Guardalavaca","Holguin"
"Camaguey",""
"Santa Lucia","Camaguey"
"Playa Chivirico","Santiago de Cuba"
"Sancti Spiritus",""
"Trinidad","Sancti Spiritus"
"Las Tunas City","Las Tunas"
"Guantanamo",""
"Caimanera","Guantanamo"
"Camaguey City","Camaguey"
"Matanzas City","Matanzas"
"Vedado","Havana"
"Santiago de Cuba City","Santiago de Cuba"
"Cienfuegos",""
"Pinar del Rio",""
"Cayo Levisa","Pinar del Rio"
"Miramar","Havana"
"Isla de la Juventud",""
"Ciego de Avila City","Ciego de Avila"
"Parque Baconao","Santiago de Cuba"
"Marea del Portillo","Granma"
"Holguin City","Holguin"
"Baracoa","Guantanamo"
"Corralillo","Villa Clara"
"Cayo Santa Maria","Villa Clara"
"Florida Town","Camaguey"
"Manzanillo","Granma"
"Guantanamo City","Guantanamo"
"Hanabanilla","Villa Clara"
"Sancti Spiritus City","Sancti Spiritus"
"Cayo Ensenachos","Villa Clara"
"Cayo Largo","Isla de la Juventud"
"Topes de Collantes","Sancti Spiritus"
"Vinales","Pinar del Rio"
"Jardines de la Reina","Ciego de Avila"
"Guanahacabibes","Pinar del Rio"
"San Diego","Pinar del Rio"
"Artemisa",""
"Las Terrazas","Artemisa"
"City of Moron","Ciego de Avila"
"Gibara","Holguin"
"Pinar del Rio City","Pinar del Rio"
"Bayamo City","Granma"
"Cayo Saetia","Holguin"
"Sierra Maestra","Santiago de Cuba"
"Cayo Las Brujas","Villa Clara"
"Pinares de Mayari","Holguin"
"Yaguajay","Sancti Spiritus"
"Soroa","Artemisa"
"Playa Larga","Matanzas"
"Playa Giron","Matanzas"
